,original_n,deco_pca_Kmean,deco_pca_Agglo,deco_pca_MiniB,deco_pca_Gauss,deco_pca_Spect,deco_fast_Kmean,deco_fast_Agglo,deco_fast_MiniB,deco_fast_Gauss,deco_fast_Spect,deco_isom_Kmean,deco_isom_Agglo,deco_isom_MiniB,deco_isom_Gauss,deco_isom_Spect,tabl__Kmean,tabl__Agglo,tabl__MiniB,tabl__Gauss,tabl__Spect,neur_conv_Kmean,neur_conv_Agglo,neur_conv_MiniB,neur_conv_Gauss,neur_conv_Spect,neur_mlp_Kmean,neur_mlp_Agglo,neur_mlp_MiniB,neur_mlp_Gauss,neur_mlp_Spect,neur_lstm_Kmean,neur_lstm_Agglo,neur_lstm_MiniB,neur_lstm_Gauss,neur_lstm_Spect,orig__Kmean,orig__Agglo,orig__MiniB,orig__Gauss,orig__Spect,orig__origi,orig__rando,sp500
2018-07-02,1.0065614519166077,1.0001982777936334,0.9975409572800183,0.9980083795625114,0.998712042304625,0.9972628289086198,1.0030674028425208,1.0068711285240912,1.0014577935734317,1.0063225899373929,0.9984740938563155,1.0010864457524817,0.9947253284517927,0.9973162771295663,1.0017151036267569,0.9970008138252148,1.0073593459713135,1.006074765839651,0.9989643279981579,1.0045672505299352,1.0004236867362606,1.0025543522018907,1.0063010846724085,1.0044106421603285,0.9959438430452593,1.0029204852256541,1.004675921943293,1.0028289023983783,1.0002378052330623,1.0003134849276443,0.9972399630493265,0.9925109969110743,0.9928826815007386,0.9949581228032652,1.024066750182294,0.9933309490802132,1.0020749666053068,0.9966869376316972,1.0010543362074376,1.000466439835371,0.9936969523579303,1.0065614519166077,1.0001182537639257,0.9621999999999999
2018-07-03,1.0051685621040332,1.0007407312621988,0.9963244000420814,0.9976912128111551,0.9965803307259198,0.9953553769105576,1.0021911916048294,1.0029868580291175,1.0006427580248758,1.0018250341300208,1.0020036603340852,1.002763646658862,0.9960898564369259,0.9966385459079459,1.0005902203890817,1.0002580364139004,0.9987202877766357,0.9959250435607476,0.9966630397976537,0.9977806672713407,0.9952627402269552,0.9967649411263906,1.0038449052328753,0.9974940239172458,0.9948936040303094,0.9985049447962945,1.0002033191094901,0.9991403084948971,0.9959253660422746,0.9953261221469695,0.9964220172331839,0.9903055439557399,0.9884205670675744,0.9914250752373569,1.0287801737674616,0.9907060217623894,1.0019153801598495,0.9971161053685351,1.0009027346762978,1.0021829004871494,0.9925023767669009,1.0051685621040332,0.9958831385461154,0.95940962
2018-07-05,1.0142790205636376,1.0088790218896524,0.9995820087521069,1.0069607767387527,1.0029191175294294,1.0053556685583367,1.0084032647789547,1.0095459783741914,1.0050972593058307,1.0115246379718255,1.010560339785943,1.0086065371834558,1.000742240046681,1.0041390761927436,1.0102376124218988,1.0078099485591432,1.0097797517277085,1.0029924378229773,1.0042551930763806,1.0034784671985335,0.9999767682022361,1.0019172535847571,1.0139923102136035,1.0026330358489168,0.9974143062713148,1.0066149867617462,1.003895145593014,1.0097396443492486,1.0012773046675068,0.9977896626529623,1.0001238048480041,0.9951598062880318,0.9925668939401461,0.9975043560502501,1.0357707269174667,0.9994491633647719,1.0096705452196792,1.0013482295513276,1.0069129212878416,1.007001869546235,0.999871182039317,1.0142790205636376,1.003865118082879,0.9604649705820001
2018-07-06,1.028483623511012,1.026577594811008,1.0163833141033956,1.0195228116653692,1.0227764822707006,1.0304555016415187,1.0263085027842935,1.042186112691518,1.0180307342291477,1.0299002919796378,1.0277160199446063,1.0309845016062877,1.0203390832014472,1.0273658250624855,1.0307491591689917,1.0281303519664975,1.0336769563369748,1.0164348106372245,1.0280501188131093,1.0240612602473391,1.0131299260416444,1.0192403806170147,1.0345260643947236,1.0215513104490852,1.0099477023620913,1.021193949598131,1.0243580980176636,1.029420459615734,1.021251024488575,1.0098637269144206,1.0123110016385843,1.0117593718170785,1.0053326025138563,1.0209182145520237,1.0501310074646382,1.0156175157206482,1.034716816720698,1.016895769337647,1.0256572019229067,1.0271213862473116,1.0221119681060817,1.028483623511012,1.0195693556577878,0.9663238069025503
2018-07-09,1.0380617390843738,1.037917515317377,1.0326194540305336,1.02999244913043,1.0373351194725775,1.0435102065242465,1.0384277831519275,1.0570306511643544,1.0307783238788206,1.0429945411608574,1.0470884027294691,1.0380790201406416,1.031514290672192,1.0348535876777045,1.0417633749372341,1.0348819481805231,1.0445786520244484,1.0366183884935918,1.0391703281911997,1.033809046087075,1.036032893832764,1.0328327065141365,1.0560733514886058,1.03377004680477,1.0253792471381682,1.0373847263165759,1.0406069816305392,1.0514932878377898,1.0360342479667952,1.0268170478749188,1.0268828143445823,1.0328503829676727,1.0225313412318526,1.0395525083353534,1.0956080266988717,1.034024887202102,1.0466501151446104,1.035547722123969,1.0381663836738428,1.036327755261507,1.036799326491347,1.0380617390843738,1.0378297739987243,0.9731847059315585
2018-07-11,1.0239638984661503,1.0237069284061262,1.019139370603703,1.0171355876094494,1.0262650908379596,1.0299573786141363,1.0230273340022011,1.0444712423825167,1.0212917400642156,1.0339304335585626,1.0302016821635387,1.0252526773686221,1.0215734436690016,1.023153790628695,1.0297101043491355,1.026439568040957,1.0342904974858744,1.0248298872486283,1.030526306822787,1.0291576026749087,1.018261613121955,1.0130787301771882,1.0481463433044007,1.0181047610747536,1.01167600360126,1.0222096048842944,1.0310416164821992,1.0397919367722916,1.022280532797877,1.0098893434891372,1.0125644109856422,1.0126240963383095,1.0046364771593195,1.0200995109222413,1.072927881561809,1.0156492040481626,1.032123507492265,1.0209697991318056,1.0261730330796817,1.0263548104251332,1.0233702346688642,1.0239638984661503,1.0182974700022474,0.9294887126352315
2018-07-12,1.0370899158639206,1.0223851825194863,1.0146079840650657,1.0158062934764418,1.0311520494768531,1.0345054543935819,1.0244087961015653,1.0490722510128658,1.0207369566881177,1.0406749884507178,1.0319260441097127,1.0273955642887767,1.0205731457243377,1.0263756469640184,1.0328825596506492,1.0341523026959576,1.047749464057071,1.0336129244709322,1.038721553920325,1.0404176025881886,1.0170885380819503,1.016847459726828,1.0568326240472776,1.0232290781344475,1.0098296732263659,1.0293555172025304,1.036131058789002,1.047170843343365,1.0283038364795074,1.0063123288165727,1.016843037443689,1.010581359724772,1.0060129331010528,1.020930037733949,1.093450292287303,1.02362151034596,1.0314948808214193,1.0143640746943385,1.0284038444275856,1.0289640222225789,1.0266065996006475,1.0370899158639206,1.0222661391253938,0.9678765964670665
2018-07-13,1.036605516466583,1.0204435550771247,1.0119822105673044,1.012402289324953,1.0290658382091606,1.0325203291913005,1.0187599060297114,1.0523736026283361,1.017197031361754,1.0355992106227139,1.0267873133913472,1.0265401707581736,1.0209511318989721,1.025719018132341,1.034643991962105,1.035389436529723,1.0474007418136946,1.035286244861836,1.0387085952533417,1.03829696181,1.017615041613874,1.0141568215847416,1.0539190957591833,1.021624955969576,1.0080356869476468,1.0297035763137825,1.0338935501111781,1.0473688624125743,1.0335553746007238,1.0050663554810324,1.020889321309608,1.0116781817421043,1.006139582297959,1.0242766901308415,1.1028011621652012,1.0272797857752736,1.0283261576950038,1.0145066147964534,1.0272378384718592,1.0305405346199434,1.0255960655850147,1.036605516466583,1.0243733181102965,0.960811097312857
2018-07-16,1.0319221034261845,1.0128088747107187,1.0045631818840284,1.007534357158204,1.0234245749801647,1.0269398966495522,1.0117187809118238,1.0383522184227343,1.0123274904708837,1.0304438697007052,1.0205529805863043,1.0171938088202332,1.0132710602166957,1.0181949119851128,1.0271194937928665,1.0250261591911847,1.042133772319876,1.0287022244893216,1.0305416037300539,1.034298214219568,1.012019411251139,1.0074609989369487,1.0413704379593844,1.0163052108864143,1.0013907560957953,1.0222225844416593,1.0264830382828933,1.0347419272983023,1.0296331691451643,1.0016722235947824,1.0113296881878295,1.0033869684032772,0.9986623414383845,1.0175021960273658,1.061829680459063,1.0192777591182163,1.0224177465138762,1.0028437445162046,1.0195575815097226,1.0211543910270275,1.0237717761457137,1.0319221034261845,1.0163989453643354,0.9632131250561391
2018-07-17,1.0353330576287827,1.0195094536026204,1.0101736277851574,1.0160271969773707,1.0296216846389827,1.0329184548016541,1.0185956394116809,1.0435268019691055,1.0188504513596395,1.0396990425772428,1.0251549250627379,1.0214362503468557,1.016942917883121,1.021818023301475,1.0322003831886135,1.0245865624688695,1.0479084886891532,1.0324173574033377,1.0340476404481282,1.0408732155944642,1.0134714627759307,1.0113374651573586,1.0499691523638148,1.023423902327708,1.0053744298359824,1.03022566704917,1.0351503530038972,1.0419830167408832,1.0367197257051375,1.0095396578890887,1.0188780663628136,1.0067855932561496,1.0047063474122273,1.0223381566754477,1.0557165619289883,1.0258775281978674,1.0300527565761248,1.0090197176639266,1.0203597077249025,1.027035658090768,1.029819225858818,1.0353330576287827,1.0221624367954085,0.9643689808062066
